#
#
# US Geological Survey, Water Resources Data
# retrieved: 2018-01-27 14:24:44 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 02091500 CONTENTNEA CREEK AT HOOKERTON, NC
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		85389	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	02091500	00060	85389	1950	10	187.6
USGS	02091500	00060	85389	1950	11	170.9
USGS	02091500	00060	85389	1950	12	350.1
USGS	02091500	00060	85389	1951	1	358.7
USGS	02091500	00060	85389	1951	2	331.1
USGS	02091500	00060	85389	1951	3	480.9
USGS	02091500	00060	85389	1951	4	449.6
USGS	02091500	00060	85389	1951	5	147.3
USGS	02091500	00060	85389	1951	6	88.5
USGS	02091500	00060	85389	1951	7	163.8
USGS	02091500	00060	85389	1951	8	136.3
USGS	02091500	00060	85389	1951	9	42.3
USGS	02091500	00060	85389	1951	10	43.0
USGS	02091500	00060	85389	1951	11	126.7
USGS	02091500	00060	85389	1951	12	175.8
USGS	02091500	00060	85389	1952	1	368.5
USGS	02091500	00060	85389	1952	2	838.3
USGS	02091500	00060	85389	1952	3	2550
USGS	02091500	00060	85389	1952	4	725.2
USGS	02091500	00060	85389	1952	5	278.5
USGS	02091500	00060	85389	1952	6	100.1
USGS	02091500	00060	85389	1952	7	63.3
USGS	02091500	00060	85389	1952	8	397.4
USGS	02091500	00060	85389	1952	9	226.0
USGS	02091500	00060	85389	1952	10	109.9
USGS	02091500	00060	85389	1952	11	338.7
USGS	02091500	00060	85389	1952	12	393.0
USGS	02091500	00060	85389	1953	1	720.9
USGS	02091500	00060	85389	1953	2	1182
USGS	02091500	00060	85389	1953	3	1256
USGS	02091500	00060	85389	1953	4	816.2
USGS	02091500	00060	85389	1953	5	709.9
USGS	02091500	00060	85389	1953	6	1030
USGS	02091500	00060	85389	1953	7	224.2
USGS	02091500	00060	85389	1953	8	58.2
USGS	02091500	00060	85389	1953	9	46.0
USGS	02091500	00060	85389	1953	10	47.6
USGS	02091500	00060	85389	1953	11	63.0
USGS	02091500	00060	85389	1953	12	298.2
USGS	02091500	00060	85389	1954	1	1853
USGS	02091500	00060	85389	1954	2	1139
USGS	02091500	00060	85389	1954	3	1010
